riskCount-total;0;15;55;62;62;69;69;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70
riskCount-soc-temperature;0;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
riskCount-printer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
riskCount-soc-motion;0;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
riskCount-soc-alarm;0;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
riskCount-soc-humidity;0;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
riskCount-soc-door-lock;0;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
riskCount-server;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
riskCount-iot-controller;1;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
riskCount-soc-gate;1;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
riskCount-soc-smoke;0;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
riskCount-desktop;0;12;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
riskCount-soc-light;0;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
riskUnique-global;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25
riskUnique-total;0;11;30;37;37;44;44;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45
riskDamage-global;636,01;636,01;614,63;565,31;565,31;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27;523,27
riskDamage-soc-temperature;0,00;317,35;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78
riskDamage-%-soc-temperature;0,0000;0,4990;0,4943;0,5374;0,5374;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805
riskDamage-printer;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
riskDamage-%-printer;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
riskDamage-soc-motion;0,00;317,33;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78
riskDamage-%-soc-motion;0,0000;0,4989;0,4943;0,5374;0,5374;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805;0,5805
riskDamage-soc-alarm;0,00;317,26;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13;302,13
riskDamage-%-soc-alarm;0,0000;0,4988;0,4916;0,5344;0,5344;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774;0,5774
riskDamage-soc-humidity;0,00;317,33;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78;303,78
