timestamps;0;5000;10000;15000;20000;25000;30000;35000;40000;45000;50000;55000;60000;65000;70000;75000;80000;85000;90000;95000;100000;105000;110000;115000;120000;125000;130000;135000;140000;145000;150000;155000;160000;165000;170000;175000;180000;185000;190000;195000;200000;205000;210000;215000;220000;225000;230000;235000;240000;242912
messages-total;0;285;360;360;360;360;360;620;863;1118;1179;1179;1437;1514;1514;1514;1514;1514;1514;1755;1755;1755;1755;1755;1755;2001;2001;2001;2001;2001;2001;2242;2242;2242;2242;2242;2242;2266;2266;2274;2274;2274;2274;2286;2286;2286;2286;2286;2286;2304
messages-printer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
messages-soc-custom-9;0;2;3;3;3;3;3;5;7;9;10;10;12;13;13;13;13;13;13;15;15;15;15;15;15;17;17;17;17;17;17;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19
messages-soc-custom-7;0;2;3;3;3;3;3;5;7;9;10;10;12;13;13;13;13;13;13;15;15;15;15;15;15;17;17;17;17;17;17;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19
messages-soc-custom-8;0;2;3;3;3;3;3;5;7;9;10;10;12;13;13;13;13;13;13;15;15;15;15;15;15;17;17;17;17;17;17;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19
messages-soc-custom-16;0;2;3;3;3;3;3;5;7;9;10;10;12;13;13;13;13;13;13;15;15;15;15;15;15;17;17;17;17;17;17;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19
messages-soc-custom-17;0;2;3;3;3;3;3;5;7;9;10;10;12;13;13;13;13;13;13;15;15;15;15;15;15;17;17;17;17;17;17;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19
messages-soc-custom-14;0;2;3;3;3;3;3;5;7;9;10;10;12;13;13;13;13;13;13;15;15;15;15;15;15;17;17;17;17;17;17;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19
messages-soc-custom-15;0;2;3;3;3;3;4;6;7;9;10;10;12;13;13;13;13;13;13;15;15;15;15;15;15;17;17;17;17;17;17;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19
messages-soc-alarm;0;2;3;3;3;3;4;11;12;20;20;20;29;32;32;32;32;32;32;36;36;36;36;36;36;40;40;40;40;40;40;44;44;44;44;44;44;46;46;48;48;48;48;51;51;51;51;51;51;55
messages-soc-custom-18;0;2;3;3;3;3;4;6;7;9;10;10;12;13;13;13;13;13;13;15;15;15;15;15;15;17;17;17;17;17;17;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19
messages-soc-custom-19;0;2;3;3;3;3;4;6;7;9;10;10;12;13;13;13;13;13;13;15;15;15;15;15;15;17;17;17;17;17;18;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19
messages-soc-custom-12;0;2;3;3;3;3;4;6;7;9;10;10;12;13;13;13;13;13;13;15;15;15;15;15;15;17;17;17;17;17;18;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19
messages-soc-custom-13;0;2;3;3;3;3;4;6;7;9;10;10;12;13;13;13;13;13;14;15;15;15;15;15;15;17;17;17;17;17;18;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19
messages-soc-custom-10;0;2;3;3;3;3;4;6;7;9;10;10;12;13;13;13;13;13;13;15;15;15;15;15;16;17;17;17;17;17;18;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19
messages-soc-custom-11;0;2;3;3;3;3;4;6;7;9;10;10;12;13;13;13;13;13;14;15;15;15;15;15;16;17;17;17;17;17;18;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19
messages-soc-custom-27;0;2;3;3;3;3;4;6;7;9;10;10;12;13;13;13;13;13;14;15;15;15;15;15;16;17;17;17;17;17;18;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19
messages-soc-custom-28;0;2;3;3;3;3;4;6;7;9;10;10;12;13;13;13;13;13;14;15;15;15;15;15;16;17;17;17;17;17;18;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19
