timestamps;0;5000;10000;15000;20000;25000;30000;35000;40000;45000;50000;55000;60000;65000;70000;75000;80000;85000;90000;95000;100000;105000;110000;115000;120000;125000;130000;135000;140000;145000;150000;155000;160000;165000;170000;175000;180000;185000;190000;195000;200000;205000;210000;215000;220000;225000;230000;235000;240000;245000;250000;250899
messages-total;0;227;474;474;474;474;474;487;487;487;487;487;487;679;679;679;679;679;679;864;864;864;864;864;864;1056;1056;1056;1056;1056;1056;1241;1241;1241;1241;1241;1241;1261;1261;1261;1261;1261;1261;1444;1444;1444;1444;1444;1444;1485;1485;1485;1485
messages-printer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
messages-soc-custom-9;0;3;5;5;5;5;5;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;10;11;11;11;11;11;11;13;13;13;13;13;13;13;13;13;13;13;13;15;15;15;15;15;15;15;15;15;15
messages-soc-custom-7;0;3;5;5;5;5;5;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;10;11;11;11;11;11;11;13;13;13;13;13;13;13;13;13;13;13;13;15;15;15;15;15;15;15;15;15;15
messages-soc-custom-8;0;3;5;5;5;5;5;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;10;11;11;11;11;11;11;13;13;13;13;13;13;13;13;13;13;13;14;15;15;15;15;15;15;15;15;15;15
messages-soc-custom-16;0;3;5;5;5;5;5;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;10;11;11;11;11;11;11;13;13;13;13;13;13;13;13;13;13;13;14;15;15;15;15;15;15;15;15;15;15
messages-soc-custom-17;0;3;5;5;5;5;5;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;10;11;11;11;11;11;11;13;13;13;13;13;13;13;13;13;13;13;14;15;15;15;15;15;15;15;15;15;15
messages-soc-custom-14;0;3;5;5;5;5;5;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;10;11;11;11;11;11;11;13;13;13;13;13;13;13;13;13;13;13;14;15;15;15;15;15;15;15;15;15;15
messages-soc-custom-15;0;3;5;5;5;5;5;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;10;11;11;11;11;11;11;13;13;13;13;13;13;13;13;13;13;13;14;15;15;15;15;15;15;15;15;15;15
messages-soc-alarm;0;3;5;5;5;5;5;6;6;6;6;6;6;9;9;9;9;9;9;11;11;11;11;11;13;14;14;14;14;14;14;16;16;16;16;16;17;18;18;18;18;18;19;20;20;20;20;20;21;23;23;23;23
messages-soc-custom-18;0;3;5;5;5;5;5;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;10;11;11;11;11;11;12;13;13;13;13;13;13;13;13;13;13;13;14;15;15;15;15;15;15;15;15;15;15
messages-soc-custom-19;0;3;5;5;5;5;5;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;10;11;11;11;11;11;12;13;13;13;13;13;13;13;13;13;13;13;14;15;15;15;15;15;15;15;15;15;15
messages-soc-custom-12;0;3;5;5;5;5;5;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;10;11;11;11;11;11;12;13;13;13;13;13;13;13;13;13;13;13;14;15;15;15;15;15;15;15;15;15;15
messages-soc-custom-13;0;3;5;5;5;5;5;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;10;11;11;11;11;11;12;13;13;13;13;13;13;13;13;13;13;13;14;15;15;15;15;15;15;15;15;15;15
messages-soc-custom-10;0;3;5;5;5;5;5;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;10;11;11;11;11;11;12;13;13;13;13;13;13;13;13;13;13;13;14;15;15;15;15;15;15;15;15;15;15
messages-soc-custom-11;0;3;5;5;5;5;5;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;10;11;11;11;11;11;12;13;13;13;13;13;13;13;13;13;13;13;14;15;15;15;15;15;15;15;15;15;15
messages-soc-custom-27;0;3;5;5;5;5;5;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;10;11;11;11;11;11;12;13;13;13;13;13;13;13;13;13;13;13;14;15;15;15;15;15;15;15;15;15;15
messages-soc-custom-28;0;3;5;5;5;5;5;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;10;11;11;11;11;11;12;13;13;13;13;13;13;13;13;13;13;13;14;15;15;15;15;15;15;15;15;15;15
messages-soc-custom-25;0;3;5;5;5;5;5;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;10;11;11;11;11;11;12;13;13;13;13;13;13;13;13;13;13;13;14;15;15;15;15;15;15;15;15;15;15
messages-soc-custom-26;0;3;5;5;5;5;5;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;10;11;11;11;11;11;12;13;13;13;13;13;13;13;13;13;13;13;14;15;15;15;15;15;15;15;15;15;15
messages-soc-custom-29;0;3;5;5;5;5;5;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;10;11;11;11;11;11;12;13;13;13;13;13;13;13;13;13;13;13;14;15;15;15;15;15;15;15;15;15;15
messages-soc-custom-20;0;3;5;5;5;5;5;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;10;11;11;11;11;11;12;13;13;13;13;13;13;13;13;13;13;13;14;15;15;15;15;15;15;15;15;15;15
