timestamps;0;5000;10000;15000;20000;25000;30000;35000;40000;45000;50000;55000;60000;65000;70000;75000;80000;85000;90000;95000;100000;105000;110000;115000;120000;125000;130000;135000;140000;145000;150000;155000;160000;165000;170000;175000;180000;185000;190000;195000;200000;205000;210000;215000;220000;225000;230000;235000;240000;245000;250000;255000;260000;265000;270000;275000;280000;285000;290000;295000;300000;305000;310000;315000;320000;325000;330000;335000;337972
riskCount-soc-custom-33;1;1
riskCount-soc-door-lock;2;2
riskCount-soc-custom-49;1;1
riskCount-soc-custom-47;1;1
riskCount-soc-custom-48;1;1
riskCount-desktop;1;1
riskCount-soc-custom-5;1;1
riskCount-soc-custom-41;1;1
riskCount-soc-custom-42;1;1
riskCount-soc-custom-6;1;1
riskCount-soc-custom-3;1;1
riskCount-soc-custom-4;1;1
riskCount-soc-custom-40;1;1
riskCount-soc-custom-1;1;1
riskCount-soc-custom-45;1;1
riskCount-soc-custom-2;1;1
riskCount-soc-custom-46;1;1
riskCount-soc-custom-43;1;1
riskCount-soc-custom-44;1;1
riskCount-soc-temperature;1;0
riskCount-soc-gate;4;1
riskUnique-global;25;25
riskUnique-total;1;11
riskDamage-global;636,01;636,01
riskDamage-printer;0,00;0,00
riskDamage-%-printer;0,0000;0,0000
riskDamage-soc-custom-9;79,64;79,64
riskDamage-%-soc-custom-9;0,1252;0,1252
riskDamage-soc-custom-7;79,64;79,64
riskDamage-%-soc-custom-7;0,1252;0,1252
riskDamage-soc-custom-8;79,64;79,64
riskDamage-%-soc-custom-8;0,1252;0,1252
riskDamage-soc-custom-16;79,64;79,64
riskDamage-%-soc-custom-16;0,1252;0,1252
riskDamage-soc-custom-17;79,64;79,64
riskDamage-%-soc-custom-17;0,1252;0,1252
riskDamage-soc-custom-14;79,64;79,64
riskDamage-%-soc-custom-14;0,1252;0,1252
riskDamage-soc-custom-15;79,64;79,64
riskDamage-%-soc-custom-15;0,1252;0,1252
riskDamage-soc-alarm;95,50;95,50
riskDamage-%-soc-alarm;0,1502;0,1502
riskDamage-soc-custom-18;79,64;79,64
riskDamage-%-soc-custom-18;0,1252;0,1252
riskDamage-soc-custom-19;79,64;79,64
riskDamage-%-soc-custom-19;0,1252;0,1252
riskDamage-soc-custom-12;79,64;79,64
riskDamage-%-soc-custom-12;0,1252;0,1252
riskDamage-soc-custom-13;79,64;79,64
riskDamage-%-soc-custom-13;0,1252;0,1252
riskDamage-soc-custom-10;79,64;79,64
riskDamage-%-soc-custom-10;0,1252;0,1252
riskDamage-soc-custom-11;79,64;79,64
riskDamage-%-soc-custom-11;0,1252;0,1252
